,Vector1,,,Vector2,,
5,-0.002041533,-0.024456088,3.72E-07,2.27E-08,0.002038643,0.024174246
10,9.02E-04,0.02554881,-1.39E-06,-1.25E-06,-9.02E-04,-0.025507254
15,6.76E-04,-0.00151624,7.23E-08,5.95E-08,-6.76E-04,0.001514797
20,2.19E-04,-4.92E-04,-4.83E-07,-4.86E-07,-2.19E-04,4.92E-04
25,7.03E-05,-1.60E-04,4.41E-07,4.43E-07,-7.03E-05,1.60E-04
30,2.26E-05,-5.21E-05,-5.45E-07,-5.45E-07,-2.26E-05,5.21E-05
35,7.30E-06,-1.70E-05,5.66E-07,5.66E-07,-7.30E-06,1.70E-05
40,2.31E-06,-5.54E-06,-6.07E-07,-6.07E-07,-2.31E-06,5.53E-06
45,7.82E-07,-1.80E-06,6.20E-07,6.20E-07,-7.82E-07,1.79E-06
50,1.89E-07,-5.99E-07,-6.37E-07,-6.38E-07,-1.89E-07,5.93E-07
55,1.35E-07,-1.89E-07,6.44E-07,6.44E-07,-1.35E-07,1.83E-07
60,-2.73E-08,-7.36E-08,-6.51E-07,-6.51E-07,2.72E-08,6.91E-08
65,6.32E-08,-1.66E-08,6.54E-07,6.54E-07,-6.33E-08,1.29E-08
70,-5.17E-08,-1.68E-08,-6.57E-07,-6.57E-07,5.16E-08,1.37E-08
75,5.54E-08,2.57E-09,6.58E-07,6.58E-07,-5.54E-08,-5.16E-09
80,-5.44E-08,-1.01E-08,-6.59E-07,-6.60E-07,5.44E-08,7.92E-09
85,5.46E-08,5.25E-09,6.60E-07,6.60E-07,-5.47E-08,-7.06E-09
90,-5.47E-08,-8.83E-09,-6.61E-07,-6.61E-07,5.47E-08,7.33E-09
95,5.46E-08,6.00E-09,6.61E-07,6.61E-07,-5.46E-08,-7.26E-09
100,-5.47E-08,-8.33E-09,-6.61E-07,-6.61E-07,5.47E-08,7.28E-09
105,0.285271939,0.401337381,-1.141957007,-1.141729868,-0.285220466,-0.401078907
