,Vector1,,,Vector2,,
10,4.64E-04,-5.64E-15,-9.70E-16,4.65E-04,-7.16E-15,-9.77E-16
15,4.61E-04,-6.58E-15,-9.70E-16,4.61E-04,-7.08E-15,-9.73E-16
20,1.25E-04,8.07E-15,-2.15E-16,1.27E-04,8.79E-15,-1.67E-16
25,1.07E-04,1.25E-15,-2.42E-17,1.04E-04,1.43E-15,-7.38E-17
30,-3.67E-04,2.16E-15,-3.89E-18,-3.65E-04,2.83E-15,1.48E-17
35,-1.20E-04,8.63E-17,1.35E-17,-1.19E-04,2.47E-15,2.89E-17
40,-3.92E-05,4.53E-16,-2.90E-17,-3.91E-05,5.13E-16,9.48E-18
45,-1.28E-05,-3.59E-17,1.61E-17,-1.28E-05,-1.57E-15,-8.97E-18
50,-4.20E-06,8.63E-17,1.65E-17,-4.18E-06,-1.20E-15,-6.04E-18
55,-1.37E-06,5.75E-16,-2.42E-17,-1.37E-06,-9.85E-17,6.96E-18
60,-4.49E-07,8.63E-17,6.17E-18,-4.46E-07,-8.32E-16,-1.96E-18
65,-1.47E-07,-4.03E-16,-9.33E-18,-1.46E-07,-5.87E-16,-1.19E-17
70,-4.86E-08,-1.58E-16,-1.10E-17,-4.75E-08,6.35E-16,4.80E-17
75,-1.63E-08,8.63E-17,-3.52E-18,-1.54E-08,2.68E-16,3.70E-17
80,-5.62E-09,-1.01E-15,1.21E-17,-4.93E-09,-3.43E-16,1.06E-17
85,-2.10E-09,8.63E-17,-1.05E-18,-1.52E-09,-4.65E-16,-1.91E-17
90,-9.09E-10,9.42E-16,-3.82E-17,-4.25E-10,-2.21E-16,-1.26E-17
95,-4.91E-10,-5.25E-16,2.36E-17,-7.58E-11,-1.44E-15,-1.86E-17
100,-3.29E-10,4.53E-16,2.27E-17,2.93E-11,-8.32E-16,-1.22E-17
105,8.311952106,-6.08E-15,1.68E-15,-1.688051554,-4.84E-15,5.54E-16
110,9.373694464,-9.45E-16,1.16E-15,-0.62628147,-8.23E-17,-9.67E-16
115,-1.173395259,4.88E-15,-1.83E-15,-0.720740293,-4.00E-15,1.38E-15
120,-0.473065294,8.69E-16,1.83E-16,-0.345728047,1.21E-15,1.43E-15
125,-0.029927392,2.36E-15,2.70E-15,0.008436998,-1.71E-15,3.07E-17
130,-0.009631224,-1.17E-15,-1.17E-15,0.002889549,-4.65E-16,-2.65E-16
135,-0.003139821,1.81E-15,-6.07E-16,9.63E-04,6.26E-16,1.11E-15
140,-0.001028682,2.47E-15,1.91E-15,3.18E-04,1.04E-15,5.32E-16
145,-3.38E-04,1.13E-15,-2.50E-16,1.04E-04,-9.58E-16,1.87E-15
150,-1.13E-04,4.57E-16,1.54E-15,3.46E-05,-2.10E-15,-8.87E-16
155,1.34E-04,1.47E-15,2.88E-16,1.57E-05,1.62E-15,-2.77E-16
