,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,,,,,,,,,,,
5,-3.95E-06,-5.11E-06,-7.99E-09,-3.83E-06,-5.12E-06,2.34E-09,-5.62E-06,-5.09E-06,1.43E-08,-5.21E-06,3.83E-06,-8.43E-09,-5.16E-06,3.84E-06,4.25E-09,0,0,0,0,0,0,,,,,,,,,,
10,-2.06E-06,-1.67E-06,-6.22E-09,-2.08E-06,-1.68E-06,2.78E-09,-8.48E-07,-1.66E-06,1.19E-08,-1.69E-06,2.07E-06,-5.96E-09,-1.71E-06,2.06E-06,3.66E-09,3.14E-04,2.35E-04,4.51E-05,3.15E-04,2.35E-04,4.51E-05,,,,,,,,,,
15,-1.03E-06,-5.47E-07,-4.55E-09,-1.06E-06,-5.48E-07,2.81E-09,1.76E-07,-5.43E-07,9.93E-09,-5.49E-07,1.05E-06,-4.56E-09,-5.73E-07,1.05E-06,3.60E-09,2.00E-04,2.33E-04,2.49E-06,2.00E-04,2.33E-04,2.49E-06,,,,,,,,,,
20,-6.83E-07,-1.78E-07,-3.07E-09,-7.18E-07,-1.80E-07,2.69E-09,5.04E-07,-1.76E-07,8.25E-09,-1.75E-07,7.10E-07,-3.38E-09,-1.99E-07,7.06E-07,3.24E-09,6.03E-05,6.44E-05,-8.27E-08,6.34E-05,6.41E-05,-1.04E-07,,,,,,,,,,
25,-5.68E-07,-5.82E-08,-1.79E-09,-6.04E-07,-5.93E-08,2.53E-09,6.08E-07,-5.68E-08,6.80E-09,-5.29E-08,5.96E-07,-2.36E-09,-7.66E-08,5.92E-07,2.70E-09,5.07E-05,5.09E-05,2.53E-08,4.54E-05,5.15E-05,5.60E-08,,,,,,,,,,
30,6.72E-07,-1.58E-08,-7.10E-10,7.30E-07,-1.68E-08,2.44E-09,-9.19E-07,-1.47E-08,5.55E-09,-3.26E-08,-7.20E-07,-2.45E-09,2.80E-09,-7.16E-07,3.52E-09,-1.67E-04,-1.83E-04,-9.39E-09,-1.64E-04,-1.83E-04,-2.40E-08,,,,,,,,,,
35,6.93E-07,-3.02E-09,1.82E-10,7.52E-07,-3.97E-09,2.30E-09,-9.19E-07,-2.12E-09,4.46E-09,-1.95E-08,-7.41E-07,-1.66E-09,1.64E-08,-7.37E-07,2.89E-09,-5.48E-05,-5.98E-05,-1.07E-08,-5.39E-05,-5.99E-05,-6.65E-09,,,,,,,,,,
40,7.11E-07,1.12E-09,9.09E-10,7.72E-07,1.86E-10,2.19E-09,-9.34E-07,1.89E-09,3.51E-09,-1.53E-08,-7.61E-07,-9.63E-10,2.17E-08,-7.57E-07,2.27E-09,-1.82E-05,-1.96E-05,-9.93E-09,-1.80E-05,-1.96E-05,-2.04E-10,,,,,,,,,,
45,-5.45E-07,-6.60E-10,1.49E-09,-5.88E-07,-1.62E-09,2.02E-09,7.05E-07,2.15E-11,2.66E-09,7.23E-09,5.79E-07,3.03E-10,-1.97E-08,5.74E-07,7.12E-10,-6.30E-06,-6.39E-06,-8.35E-09,-6.26E-06,-6.41E-06,2.06E-09,,,,,,,,,,
50,-5.31E-07,-2.64E-10,1.95E-09,-5.73E-07,-1.19E-09,1.93E-09,6.88E-07,3.33E-10,1.94E-09,7.58E-09,5.64E-07,8.21E-10,-1.86E-08,5.60E-07,1.97E-10,-1.22E-06,-2.09E-06,-6.57E-09,-1.13E-06,-2.09E-06,2.80E-09,,,,,,,,,,
55,-5.21E-07,-1.85E-10,2.31E-09,-5.62E-07,-1.07E-09,1.84E-09,6.75E-07,3.42E-10,1.32E-09,7.64E-09,5.53E-07,1.27E-09,-1.78E-08,5.49E-07,-2.64E-10,6.83E-08,-6.80E-07,-4.87E-09,1.37E-07,-6.82E-07,2.89E-09,,,,,,,,,,
