,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
5,0,0,0,0,0,0,0,0,0,2.06E-16,-1.18E-30,3.02E-31,0,0,0,0,0,0,0,0,0
10,3.18E-04,1.35E-04,1.16E-04,3.19E-04,1.35E-04,1.16E-04,0.001953835,1.46E-15,3.69E-16,1.35E-04,-3.19E-04,1.16E-04,0.001953835,-1.33E-15,7.95E-16,0.001953835,-4.72E-16,2.09E-16,0.001953835,-1.35E-14,3.55E-17
15,2.02E-04,4.45E-05,7.49E-07,2.02E-04,4.45E-05,7.50E-07,2.03E-04,4.45E-05,7.48E-07,4.45E-05,-2.02E-04,7.67E-07,2.02E-04,4.46E-05,7.50E-07,2.02E-04,4.46E-05,7.54E-07,2.03E-04,4.46E-05,7.54E-07
20,6.40E-05,1.38E-05,1.39E-07,6.68E-05,1.38E-05,1.28E-07,6.44E-05,1.39E-05,1.43E-07,1.26E-05,-6.67E-05,1.48E-07,6.29E-05,1.42E-05,1.41E-07,6.62E-05,1.41E-05,1.43E-07,6.76E-05,1.42E-05,1.48E-07
25,5.21E-05,1.14E-05,9.17E-09,4.74E-05,1.15E-05,3.27E-08,5.18E-05,1.13E-05,-2.57E-09,1.35E-05,-4.75E-05,9.76E-09,5.38E-05,1.06E-05,3.99E-09,4.82E-05,1.07E-05,3.52E-09,4.56E-05,1.05E-05,-1.03E-08
30,-1.77E-04,-3.62E-05,1.42E-08,-1.74E-04,-3.61E-05,4.37E-08,-1.80E-04,-3.60E-05,1.10E-08,-3.65E-05,1.76E-04,7.44E-08,-1.88E-04,-3.51E-05,7.80E-09,-1.79E-04,-3.52E-05,6.17E-08,-1.77E-04,-3.50E-05,2.78E-08
35,-5.77E-05,-1.47E-05,1.52E-08,-5.70E-05,-1.47E-05,3.53E-08,-5.87E-05,-1.46E-05,9.92E-09,-1.50E-05,5.74E-05,5.42E-08,-6.11E-05,-8.04E-06,7.97E-09,-5.84E-05,-8.04E-06,3.48E-08,-5.78E-05,-8.04E-06,1.95E-08
40,-1.89E-05,-2.45E-06,1.32E-08,-1.87E-05,-2.42E-06,1.35E-08,-1.92E-05,-2.44E-06,6.76E-09,-2.38E-06,1.88E-05,3.58E-08,-2.00E-05,-5.19E-06,1.04E-08,-1.91E-05,-5.23E-06,3.58E-08,-1.89E-05,-5.17E-06,1.83E-08
45,-6.10E-06,-4.33E-06,1.38E-08,-6.04E-06,-4.37E-06,2.32E-08,-6.28E-06,-4.28E-06,7.24E-09,-4.57E-06,6.08E-06,2.80E-08,-6.45E-06,2.27E-06,9.36E-09,-6.17E-06,2.32E-06,1.29E-08,-6.19E-06,2.26E-06,1.30E-08
50,-2.05E-06,1.02E-06,1.17E-08,-2.01E-06,1.05E-06,6.48E-09,-2.05E-06,1.01E-06,4.67E-09,1.13E-06,2.03E-06,1.74E-08,-2.18E-06,-1.99E-06,1.10E-08,-2.07E-06,-2.01E-06,2.08E-08,-2.01E-06,-1.97E-06,1.34E-08
55,-6.96E-07,1.44E-06,1.16E-08,-6.78E-07,1.47E-06,5.88E-09,-6.71E-07,1.43E-06,4.00E-09,1.56E-06,6.83E-07,1.24E-08,-7.53E-07,-1.89E-06,1.04E-08,-7.01E-07,-1.92E-06,1.53E-08,-6.50E-07,-1.88E-06,1.19E-08
60,-1.46E-07,-3.14E-06,1.24E-08,-1.52E-07,-3.19E-06,1.90E-08,-2.25E-07,-3.10E-06,5.17E-09,-3.37E-06,1.51E-07,1.17E-08,-1.67E-07,3.43E-06,8.62E-09,-1.53E-07,3.48E-06,-2.19E-09,-2.29E-07,3.41E-06,7.64E-09
65,-1.01E-07,1.44E-06,1.04E-08,-9.23E-08,1.47E-06,3.27E-09,-7.43E-08,1.43E-06,3.05E-09,1.55E-06,9.27E-08,5.70E-09,-1.24E-07,-1.65E-06,9.89E-09,-1.01E-07,-1.67E-06,1.04E-08,-6.37E-08,-1.64E-06,9.04E-09
70,-6.02E-08,1.60E-06,1.03E-08,-5.10E-08,1.63E-06,3.23E-09,-2.29E-08,1.58E-06,2.74E-09,1.72E-06,5.11E-08,3.97E-09,-7.90E-08,-1.80E-06,9.17E-09,-5.93E-08,-1.83E-06,8.02E-09,-1.27E-08,-1.79E-06,8.31E-09
75,6.24E-08,-3.09E-06,1.12E-08,5.26E-08,-3.15E-06,1.67E-08,-1.23E-08,-3.06E-06,4.20E-09,-3.33E-06,-5.47E-08,5.58E-09,5.62E-08,3.47E-06,7.29E-09,5.62E-08,3.52E-06,-7.28E-09,-2.09E-08,3.45E-06,4.74E-09
80,-3.28E-08,1.46E-06,9.15E-09,-2.64E-08,1.49E-06,1.18E-09,-4.14E-09,1.45E-06,2.30E-09,1.57E-06,2.61E-08,1.23E-09,-4.87E-08,-1.64E-06,8.59E-09,-3.32E-08,-1.67E-06,6.90E-09,4.32E-09,-1.63E-06,6.71E-09
85,-3.75E-08,1.62E-06,8.97E-09,-3.01E-08,1.64E-06,1.29E-09,4.99E-10,1.60E-06,2.17E-09,1.74E-06,3.00E-08,6.78E-10,-5.24E-08,-1.81E-06,7.92E-09,-3.72E-08,-1.84E-06,5.70E-09,9.54E-09,-1.80E-06,6.43E-09
90,7.03E-08,-3.10E-06,9.80E-09,5.92E-08,-3.15E-06,1.50E-08,-4.32E-09,-3.06E-06,3.78E-09,-3.33E-06,-6.11E-08,3.13E-09,6.69E-08,3.47E-06,6.10E-09,6.35E-08,3.53E-06,-8.85E-09,-1.37E-08,3.45E-06,3.21E-09
