,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
5, 38.47553575489999, 20.198207723189178, 20.198207723189178, 38.47553575489999, 20.198207723189178, 20.198207723189178, 38.47553575489999, 23.144657538792053, 23.144657538792053, 14.390926954722, 23.144657538792053, 23.144657538792053, 14.390926954722, 23.144657538792053, 15.546076577484342, 21.491835743549004, 15.546076577484342, 15.546076577484342, 21.491835743549004, 15.546076577484342, 15.546076577484342, 22.714749910744892
10, 35.64325382799886, 43.00568554730376, 49.282057258167406, 35.64325382799886, 43.00568554730376, 49.282057258167406, 35.64325382799886, 4.897585020957578, 3.9074341990518233, 2.063045875086593, 4.897585020957578, 3.9074341990518233, 2.063045875086593, 4.897585020957578, 16.644049142024762, 1.4281848294787027, 8.927835885717473, 16.644049142024762, 1.4281848294787027, 8.927835885717473, 16.644049142024762, 14.68177279956091
15, 4.548406157221477, 5.842319671101701, 8.715345146843601, 4.548406157221477, 5.842319671101701, 8.715345146843601, 4.548406157221477, 8.113281200098632, 18.09492335426282, 4.716475743286236, 8.113281200098632, 18.09492335426282, 4.716475743286236, 8.113281200098632, 17.62962430476023, 17.011303508082822, 16.924841310523345, 17.62962430476023, 17.011303508082822, 16.924841310523345, 17.62962430476023, 19.464813057118416
20, 37.90504516167453, 57.62321503129534, 53.7544015363374, 37.90504516167453, 57.62321503129534, 53.7544015363374, 37.90504516167453, 10.142323294476439, 9.960993785203422, 1.2808439267883331, 10.142323294476439, 9.960993785203422, 1.2808439267883331, 10.142323294476439, 11.00411301049318, 10.32282308184785, 9.16248762202463, 11.00411301049318, 10.32282308184785, 9.16248762202463, 11.00411301049318, 13.92335594167137
25, 22.06950319097906, 21.72302068339647, 17.86803044586603, 22.06950319097906, 21.72302068339647, 17.86803044586603, 22.06950319097906, 11.855027215691566, 2.6532417437535685, 3.565308461605667, 11.855027215691566, 2.6532417437535685, 3.565308461605667, 11.855027215691566, 9.735751452412176, 5.157129773770602, 8.870772261335066, 9.735751452412176, 5.157129773770602, 8.870772261335066, 9.735751452412176, 16.15562224959301
30, 51.91575402615341, 46.519975818783436, 49.315484942316004, 51.91575402615341, 46.519975818783436, 49.315484942316004, 51.91575402615341, 1.6957165270127907, 7.750172564066791, 10.972517130514584, 1.6957165270127907, 7.750172564066791, 10.972517130514584, 1.6957165270127907, 6.65022231175146, 5.990319757922292, 1.8672463255054912, 6.65022231175146, 5.990319757922292, 1.8672463255054912, 6.65022231175146, 9.437559923394229
35, 133.88795825818903, 146.2217134839756, 145.76463494372723, 133.88795825818903, 146.2217134839756, 145.76463494372723, 133.88795825818903, 21.800951379493814, 3.02348968002276, 6.933655773412418, 21.800951379493814, 3.02348968002276, 6.933655773412418, 21.800951379493814, 17.70503658736841, 12.035270025606073, 13.971909311867, 17.70503658736841, 12.035270025606073, 13.971909311867, 17.70503658736841, 38.89211120788067
40, 33.00894469642786, 40.622634858697765, 34.47303585672591, 33.00894469642786, 40.622634858697765, 34.47303585672591, 33.00894469642786, 4.636622288534506, 3.542466970747541, 4.288702833654901, 4.636622288534506, 3.542466970747541, 4.288702833654901, 4.636622288534506, 11.027906134495153, 7.795024250412325, 6.506930237500338, 11.027906134495153, 7.795024250412325, 6.506930237500338, 11.027906134495153, 6.25616780920201
45, 86.85270709152898, 92.39344406519943, 105.68340283727392, 86.85270709152898, 92.39344406519943, 105.68340283727392, 86.85270709152898, 17.658391251839195, 9.602718210276942, 11.4147339534483, 17.658391251839195, 9.602718210276942, 11.4147339534483, 17.658391251839195, 17.314824979658034, 7.689859597605927, 11.423235156413643, 17.314824979658034, 7.689859597605927, 11.423235156413643, 17.314824979658034, 13.54297590310112
50, 97.37374336042396, 95.99158237867226, 98.1489031076399, 97.37374336042396, 95.99158237867226, 98.1489031076399, 97.37374336042396, 6.113001741844723, 12.373503691624183, 7.259994901174753, 6.113001741844723, 12.373503691624183, 7.259994901174753, 6.113001741844723, 20.869254780132973, 25.55211291060319, 3.0928774332992224, 20.869254780132973, 25.55211291060319, 3.0928774332992224, 20.869254780132973, 10.146723838379486
55, 84.18901177809306, 106.21565157666286, 101.90163630483238, 84.18901177809306, 106.21565157666286, 101.90163630483238, 84.18901177809306, 7.701969886423428, 10.1406605077371, 3.195141946732895, 7.701969886423428, 10.1406605077371, 3.195141946732895, 7.701969886423428, 18.88449572059364, 11.787386143949067, 6.257353177810872, 18.88449572059364, 11.787386143949067, 6.257353177810872, 18.88449572059364, 16.589330204424915
